Reef site,lat,long,1989,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
MX1062,21.01,-86.778,NA,NA,NA,9.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.28571429
MX1065,18.353,-87.791,NA,NA,NA,18.725,NA,NA,30,NA,NA,11.83333333,NA,32.66666667,NA,34
MX1066,21.46,-86.781,NA,NA,21.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.33333333
MX1109,19.647,-87.417,NA,NA,NA,30.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.16666667
MX1116,20.551,-87.149,NA,NA,11.85,NA,NA,NA,NA,NA,NA,14.33333333,NA,19.5,NA,14.33333333
MX1117,20.218,-87.419,NA,NA,7.4,NA,NA,NA,11.2,NA,16.33333333,NA,NA,3.333333333,NA,12.33333333
MX1131,20.916,-86.829,NA,NA,21.93333333,NA,NA,NA,NA,NA,NA,NA,NA,19.66666667,NA,35.16666667
MX1132,20.987,-86.796,NA,NA,27.3,NA,NA,NA,30.58333333,NA,NA,9.666666667,NA,33.33333333,NA,11.5
MX1133,21.133,-86.741,NA,NA,6.025,NA,NA,NA,30,NA,23.33333333,NA,NA,48,NA,28
MX1134,21.196,-86.726,NA,NA,46.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.66666667
MX1136,18.35,-87.798,NA,NA,NA,4.55,NA,NA,18.16666667,NA,NA,NA,NA,37.66666667,NA,37.66666667
MX2007,19.835,-87.442,NA,NA,3.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.33333333
MX2033,19.45,-87.437,NA,NA,NA,17.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.66666667
MX2067,18.4,-87.767,NA,NA,NA,17.875,NA,NA,25.3,NA,NA,14,NA,22.33333333,NA,43.16666667
MX3009,-86.9999,20.27227,NA,NA,4.833333333,NA,NA,NA,42.875,NA,40.5,NA,NA,49.33333333,NA,50.83333333
MX3021,-87.65809,18.78277,NA,NA,NA,39.32,NA,NA,NA,NA,NA,NA,NA,64.33333333,NA,NA
MX3054,-86.7524,20.51127,NA,NA,24.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.27777778,46.66666667
MXXCK01,-87.82744,18.2137,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,NA,38,NA,46
MXXCK02,-87.82623,18.24015,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.16666667,NA,31.33333333,NA,33.5
Palancar.Jardines.MERA.deep,20.334,-87.027,NA,NA,NA,NA,NA,NA,26.16666667,NA,15.13888889,NA,NA,NA,NA,NA
Palancar.Jardines.MERA.shall,20.332,-87.026,NA,NA,NA,NA,NA,NA,17.77777778,NA,26.25,NA,NA,23.19444444,NA,NA
Palmas.MERA.deep,20.455,-86.994,NA,NA,NA,NA,NA,NA,5.277777778,NA,NA,NA,NA,10.66666667,NA,NA
Paraiso,20.469,-86.983,NA,19.16549108,10.74074074,2.222222222,1.875,5.277777778,2.291666667,4.166666667,7.291666667,2.708333334,6.111111111,5.792126768,4.166666667,7.166666667
Paraiso.MERA.shall,20.469,-86.981,NA,NA,NA,NA,NA,NA,30.83333333,NA,3.194444445,NA,NA,83.33333333,NA,NA
Paso.Cedral,20.374,-87.029,NA,28.14928048,11.57407407,3.472222222,8.680555556,12.36111111,12.12962963,13.95833333,25,12.63888889,11.59722222,19.00211959,14.86111111,22.5
Pta.Francesa.MERA.deep,20.357,-87.03,NA,NA,NA,NA,NA,NA,6.666666667,NA,NA,NA,NA,21.52777778,NA,NA
Pta.Francesa.MERA.shall,20.362,-87.027,NA,NA,NA,NA,NA,NA,10.55555556,NA,37.08333333,NA,NA,NA,NA,NA
Pta.Sur.MERA.deep,20.301,-87.025,NA,NA,NA,NA,NA,NA,6.111111111,NA,11.52777778,NA,NA,NA,NA,NA
Punta.Sur.Mera.Shall,20.298,-87.019,NA,NA,NA,NA,NA,NA,50.13888889,NA,NA,NA,NA,NA,NA,50.33333333
Radio.Pirata,20.853,-86.865,NA,NA,NA,NA,NA,9.333333332,NA,NA,NA,19.5,11,10.33333333,16.5,13.25
Sn.Clemente,20.408,-87.022,NA,NA,NA,NA,NA,NA,4.444444445,NA,14.16666666,NA,NA,NA,NA,8.666666667
Sn.Fco.MERA.midd,20.397,-87.026,NA,NA,NA,NA,NA,NA,0.694444444,NA,NA,NA,NA,5.833333333,NA,NA
Sta.Rosa.Bolones,20.377,-87.029,NA,NA,NA,NA,NA,NA,14.02777778,NA,NA,NA,NA,10.69444445,NA,NA
Sta.Rosa.MERA.midd,20.378,-87.028,NA,NA,NA,NA,NA,NA,2.638888889,NA,8.611111112,NA,NA,NA,NA,NA
Tanchacte.Norte,19.154,-87.533,NA,NA,NA,NA,39.3,11.66666667,NA,58.05555556,NA,44.83333333,31.16666667,40.33333333,20.33333334,41.25
Tanchacte.Sur,20.904,-86.841,NA,NA,NA,NA,NA,24.44444444,NA,NA,20.83333333,31.04166667,11.16666667,18.16666667,23,15
Tormentos,20.432,-87.013,NA,NA,NA,NA,NA,NA,1.527777778,NA,26.52948507,NA,NA,32.5,NA,12.83333333
Tunich.MERA.deep,20.415,-87.02,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,57.77777778,NA,NA
Yucab,20.421,-87.017,NA,19.68657677,7.685185185,2.013888889,4.375,5.763888889,6.805555556,9.305555555,19.44444444,12.5,14.23611111,17.73148148,9.166666667,8.166666667
